,Division,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,PHYS,1401,1360,1691,2058,2792,2913,3204,3922,4638,5124,5170,5468,5657,5961,6536,7021,8141,9603,12301,16261,10895
0,ANYL,1072,1111,1261,1548,2054,2214,2556,2978,4081,4011,3953,4004,4261,4520,4862,5210,5961,7089,9227,11958,8360
0,ENVR,976,1043,1098,1441,1908,2114,2429,2738,3826,3724,3798,3812,4089,4230,4490,4799,5495,6491,8579,10902,7801
0,AGFD,437,468,620,882,1238,1589,1766,2040,2531,2345,2424,2586,2762,3038,3257,3427,3860,4321,5407,7539,6053
0,ENFL,304,319,359,457,553,680,801,897,1187,1414,1615,1848,2021,2289,2683,2934,3498,4145,5649,7328,5185
0,ORGN,208,244,386,565,863,1113,1139,1259,1362,1305,1325,1371,1488,1625,1584,1630,1676,1795,2036,2624,1912
